year;inflation;multiplier
1940;0;227.8631304
1941;0;221.2263402
1942;0;214.7828545
1943;0;208.5270432
1944;0;202.45344
1945;0;196.5567379
1946;0;190.8317844
1947;0;185.2735771
1948;7.7;179.8772593
1949;2.8;174.6381158
1950;3.1;165.0643817
1951;9.1;155.5743465
1952;9.2;138.7817543
1953;3.1;123.6914031
1954;1.8;116.5800218
1955;4.5;111.2404788
1956;4.9;103.4795151
1957;3.7;95.9031651
1958;3.0;89.88112943
1959;0.6;84.79351833
1960;1.0;81.84702541
1961;3.4;78.6990629
1962;4.3;73.96528468
1963;2.0;68.93316373
1964;3.3;65.65063212
1965;4.8;61.75976681
1966;3.9;57.29106383
1967;2.5;53.59313735
1968;4.7;50.79918233
1969;5.4;47.16730021
1970;6.4;43.51226957
1971;9.4;39.77355536
1972;7.1;35.38572541
1973;9.2;32.13962344
1974;16.0;28.64494068
1975;24.2;24.07137872
1976;16.5;18.92403988
1977;15.8;15.83601663
1978;8.3;13.32998033
1979;13.4;11.97662204
1980;18.0;10.28919419
1981;11.9;8.503466275
1982;8.6;7.400753938
1983;4.6;6.631499945
1984;5.0;6.163104038
1985;6.1;5.706577813
1986;3.4;5.230593779
1987;4.2;4.915971597
1988;4.9;4.5857944
1989;7.8;4.250041149
1990;9.5;3.83577721
1991;5.9;3.409579743
1992;3.7;3.13092722
1993;1.6;2.934327292
1994;2.4;2.805284218
1995;3.5;2.661559979
1996;2.4;2.499117351
1997;3.1;2.371079081
1998;3.4;2.234758794
1999;1.5;2.100337212
2000;3.0;2.009892069
2001;1.8;1.896124594
2002;1.7;1.809279192
2003;2.9;1.728060356
2004;3.0;1.631785038
2005;2.8;1.539419848
2006;3.2;1.455028211
2007;4.3;1.370083062
2008;4.0;1.276871446
2009;-0.5;1.1933378
2010;4.6;1.164232
2011;5.2;1.082
2012;3.2;1
