year;bracket;rate;accpay;net
1945;2000;0.01;0;2000
1945;3000;0.02;10;2990
1945;5000;0.03;50;4950
1945;7500;0.04;125;7375
1945;10000;0.06;225;9775
1945;12500;0.08;375;12125
1945;15000;0.1;575;14425
1945;20000;0.12;1075;18925
1945;25000;0.14;1675;23325
1945;30000;0.16;2375;27625
1945;35000;0.18;3175;31825
1945;40000;0.1;4075;35925
1945;45000;0.11;4575;40425
1945;50000;0.12;5125;44875
1945;60000;0.135;6325;53675
1945;75000;0.15;8350;66650
1945;100000;0.175;12100;87900
1945;150000;0.2;20850;129150
1945;200000;0.225;30850;169150
1945;250000;0.25;42100;207900
1945;300000;0.275;54600;245400
1945;500000;0.3;109600;390400
1945;750000;0.325;184600;565400
1945;1000000;0.35;265850;734150
1945;2000000;0.375;615850;1384150
1946;2000;0.01;0;2000
1946;3000;0.02;10;2990
1946;5000;0.03;50;4950
1946;7500;0.04;125;7375
1946;10000;0.06;225;9775
1946;12500;0.08;375;12125
1946;15000;0.1;575;14425
1946;20000;0.12;1075;18925
1946;25000;0.14;1675;23325
1946;30000;0.16;2375;27625
1946;35000;0.18;3175;31825
1946;40000;0.1;4075;35925
1946;45000;0.11;4575;40425
1946;50000;0.12;5125;44875
1946;60000;0.135;6325;53675
1946;75000;0.15;8350;66650
1946;100000;0.175;12100;87900
1946;150000;0.2;20850;129150
1946;200000;0.225;30850;169150
1946;250000;0.25;42100;207900
1946;300000;0.275;54600;245400
1946;500000;0.3;109600;390400
1946;750000;0.325;184600;565400
1946;1000000;0.35;265850;734150
1946;2000000;0.375;615850;1384150
1947;2000;0.01;0;2000
1947;3000;0.02;10;2990
1947;5000;0.03;50;4950
1947;7500;0.04;125;7375
1947;10000;0.06;225;9775
1947;12500;0.08;375;12125
1947;15000;0.1;575;14425
1947;20000;0.12;1075;18925
1947;25000;0.14;1675;23325
1947;30000;0.16;2375;27625
1947;35000;0.18;3175;31825
1947;40000;0.1;4075;35925
1947;45000;0.11;4575;40425
1947;50000;0.12;5125;44875
1947;60000;0.135;6325;53675
1947;75000;0.15;8350;66650
1947;100000;0.175;12100;87900
1947;150000;0.2;20850;129150
1947;200000;0.225;30850;169150
1947;250000;0.25;42100;207900
1947;300000;0.275;54600;245400
1947;500000;0.3;109600;390400
1947;750000;0.325;184600;565400
1947;1000000;0.35;265850;734150
1947;2000000;0.375;615850;1384150
1948;2000;0.01;0;2000
1948;3000;0.02;10;2990
1948;5000;0.03;50;4950
1948;7500;0.04;125;7375
1948;10000;0.06;225;9775
1948;12500;0.08;375;12125
1948;15000;0.1;575;14425
1948;20000;0.12;1075;18925
1948;25000;0.14;1675;23325
1948;30000;0.16;2375;27625
1948;35000;0.18;3175;31825
1948;40000;0.1;4075;35925
1948;45000;0.11;4575;40425
1948;50000;0.12;5125;44875
1948;60000;0.135;6325;53675
1948;75000;0.15;8350;66650
1948;100000;0.175;12100;87900
1948;150000;0.2;20850;129150
1948;200000;0.225;30850;169150
1948;250000;0.25;42100;207900
1948;300000;0.275;54600;245400
1948;500000;0.3;109600;390400
1948;750000;0.325;184600;565400
1948;1000000;0.35;265850;734150
1948;2000000;0.375;615850;1384150
1949;2000;0.01;0;2000
1949;3000;0.02;10;2990
1949;5000;0.03;50;4950
1949;7500;0.04;125;7375
1949;10000;0.06;225;9775
1949;12500;0.08;375;12125
1949;15000;0.1;575;14425
1949;17500;0.12;825;16675
1949;20000;0.15;1125;18875
1949;25000;0.18;1875;23125
1949;30000;0.21;2775;27225
1949;35000;0.24;3825;31175
1949;40000;0.14;5025;34975
1949;45000;0.155;5725;39275
1949;50000;0.175;6500;43500
1949;60000;0.2;8250;51750
1949;75000;0.225;11250;63750
1949;100000;0.25;16875;83125
1949;150000;0.275;29375;120625
1949;200000;0.3;43125;156875
1949;300000;0.325;73125;226875
1949;500000;0.35;138125;361875
1949;750000;0.375;225625;524375
1949;1000000;0.4;319375;680625
1950;2000;0.01;0;2000
1950;3000;0.02;10;2990
1950;5000;0.03;50;4950
1950;7500;0.04;125;7375
1950;10000;0.06;225;9775
1950;12500;0.08;375;12125
1950;15000;0.1;575;14425
1950;17500;0.12;825;16675
1950;20000;0.15;1125;18875
1950;25000;0.18;1875;23125
1950;30000;0.21;2775;27225
1950;35000;0.24;3825;31175
1950;40000;0.14;5025;34975
1950;45000;0.155;5725;39275
1950;50000;0.175;6500;43500
1950;60000;0.2;8250;51750
1950;75000;0.225;11250;63750
1950;100000;0.25;16875;83125
1950;150000;0.275;29375;120625
1950;200000;0.3;43125;156875
1950;300000;0.325;73125;226875
1950;500000;0.35;138125;361875
1950;750000;0.375;225625;524375
1950;1000000;0.4;319375;680625
1951;2000;0.01;0;2000
1951;3000;0.02;10;2990
1951;5000;0.03;50;4950
1951;7500;0.04;125;7375
1951;10000;0.06;225;9775
1951;12500;0.08;375;12125
1951;15000;0.1;575;14425
1951;17500;0.12;825;16675
1951;20000;0.15;1125;18875
1951;25000;0.18;1875;23125
1951;30000;0.21;2775;27225
1951;35000;0.24;3825;31175
1951;40000;0.14;5025;34975
1951;45000;0.155;5725;39275
1951;50000;0.175;6500;43500
1951;60000;0.2;8250;51750
1951;75000;0.225;11250;63750
1951;100000;0.25;16875;83125
1951;150000;0.275;29375;120625
1951;200000;0.3;43125;156875
1951;300000;0.325;73125;226875
1951;500000;0.35;138125;361875
1951;750000;0.375;225625;524375
1951;1000000;0.4;319375;680625
1952;2000;0.01;0;2000
1952;3000;0.02;10;2990
1952;5000;0.03;50;4950
1952;7500;0.04;125;7375
1952;10000;0.06;225;9775
1952;12500;0.08;375;12125
1952;15000;0.1;575;14425
1952;17500;0.12;825;16675
1952;20000;0.15;1125;18875
1952;25000;0.18;1875;23125
1952;30000;0.21;2775;27225
1952;35000;0.24;3825;31175
1952;40000;0.14;5025;34975
1952;45000;0.155;5725;39275
1952;50000;0.175;6500;43500
1952;60000;0.2;8250;51750
1952;75000;0.225;11250;63750
1952;100000;0.25;16875;83125
1952;150000;0.275;29375;120625
1952;200000;0.3;43125;156875
1952;300000;0.325;73125;226875
1952;500000;0.35;138125;361875
1952;750000;0.375;225625;524375
1952;1000000;0.4;319375;680625
1953;2000;0.01;0;2000
1953;3000;0.02;10;2990
1953;5000;0.03;50;4950
1953;7500;0.04;125;7375
1953;10000;0.06;225;9775
1953;12500;0.08;375;12125
1953;15000;0.1;575;14425
1953;17500;0.12;825;16675
1953;20000;0.15;1125;18875
1953;25000;0.18;1875;23125
1953;30000;0.21;2775;27225
1953;35000;0.24;3825;31175
1953;40000;0.14;5025;34975
1953;45000;0.155;5725;39275
1953;50000;0.175;6500;43500
1953;60000;0.2;8250;51750
1953;75000;0.225;11250;63750
1953;100000;0.25;16875;83125
1953;150000;0.275;29375;120625
1953;200000;0.3;43125;156875
1953;300000;0.325;73125;226875
1953;500000;0.35;138125;361875
1953;750000;0.375;225625;524375
1953;1000000;0.4;319375;680625
1954;2000;0;0;2000
1954;3000;0.01;0;3000
1954;4000;0.02;10;3990
1954;5000;0.03;30;4970
1954;7500;0.04;105;7395
1954;10000;0.06;205;9795
1954;12500;0.08;355;12145
1954;15000;0.1;555;14445
1954;17500;0.12;805;16695
1954;20000;0.15;1105;18895
1954;25000;0.18;1855;23145
1954;30000;0.21;2755;27245
1954;35000;0.24;3805;31195
1954;40000;0.28;5005;34995
1954;45000;0.31;6405;38595
1954;50000;0.35;7955;42045
1954;60000;0.2;11455;48545
1954;75000;0.225;14455;60545
1954;100000;0.25;20080;79920
1954;150000;0.275;32580;117420
1954;200000;0.3;46330;153670
1954;300000;0.325;76330;223670
1954;500000;0.35;141330;358670
1954;750000;0.375;228830;521170
1954;1000000;0.4;322580;677420
1955;2000;0;0;2000
1955;3000;0.01;0;3000
1955;4000;0.02;10;3990
1955;5000;0.03;30;4970
1955;7500;0.04;105;7395
1955;10000;0.06;205;9795
1955;12500;0.08;355;12145
1955;15000;0.1;555;14445
1955;17500;0.12;805;16695
1955;20000;0.15;1105;18895
1955;25000;0.18;1855;23145
1955;30000;0.21;2755;27245
1955;35000;0.24;3805;31195
1955;40000;0.28;5005;34995
1955;45000;0.31;6405;38595
1955;50000;0.35;7955;42045
1955;60000;0.2;11455;48545
1955;75000;0.225;14455;60545
1955;100000;0.25;20080;79920
1955;150000;0.275;32580;117420
1955;200000;0.3;46330;153670
1955;300000;0.325;76330;223670
1955;500000;0.35;141330;358670
1955;750000;0.375;228830;521170
1955;1000000;0.4;322580;677420
1956;2000;0;0;2000
1956;3000;0.01;0;3000
1956;4000;0.02;10;3990
1956;5000;0.03;30;4970
1956;7500;0.04;105;7395
1956;10000;0.06;205;9795
1956;12500;0.08;355;12145
1956;15000;0.1;555;14445
1956;17500;0.12;805;16695
1956;20000;0.15;1105;18895
1956;25000;0.18;1855;23145
1956;30000;0.21;2755;27245
1956;35000;0.24;3805;31195
1956;40000;0.28;5005;34995
1956;45000;0.31;6405;38595
1956;50000;0.35;7955;42045
1956;60000;0.2;11455;48545
1956;75000;0.225;14455;60545
1956;100000;0.25;20080;79920
1956;150000;0.275;32580;117420
1956;200000;0.3;46330;153670
1956;300000;0.325;76330;223670
1956;500000;0.35;141330;358670
1956;750000;0.375;228830;521170
1956;1000000;0.4;322580;677420
1957;2000;0;0;2000
1957;3000;0.01;0;3000
1957;4000;0.02;10;3990
1957;5000;0.03;30;4970
1957;7500;0.04;105;7395
1957;10000;0.06;205;9795
1957;12500;0.08;355;12145
1957;15000;0.1;555;14445
1957;17500;0.12;805;16695
1957;20000;0.15;1105;18895
1957;25000;0.18;1855;23145
1957;30000;0.21;2755;27245
1957;35000;0.24;3805;31195
1957;40000;0.28;5005;34995
1957;45000;0.31;6405;38595
1957;50000;0.35;7955;42045
1957;60000;0.2;11455;48545
1957;75000;0.225;14455;60545
1957;100000;0.25;20080;79920
1957;150000;0.275;32580;117420
1957;200000;0.3;46330;153670
1957;300000;0.325;76330;223670
1957;500000;0.35;141330;358670
1957;750000;0.375;228830;521170
1957;1000000;0.4;322580;677420
1958;2000;0;0;2000
1958;3000;0.01;0;3000
1958;4000;0.02;10;3990
1958;5000;0.03;30;4970
1958;7500;0.04;105;7395
1958;10000;0.06;205;9795
1958;12500;0.08;355;12145
1958;15000;0.1;555;14445
1958;17500;0.12;805;16695
1958;20000;0.15;1105;18895
1958;25000;0.18;1855;23145
1958;30000;0.21;2755;27245
1958;35000;0.24;3805;31195
1958;40000;0.28;5005;34995
1958;45000;0.31;6405;38595
1958;50000;0.35;7955;42045
1958;60000;0.2;11455;48545
1958;75000;0.225;14455;60545
1958;100000;0.25;20080;79920
1958;150000;0.275;32580;117420
1958;200000;0.3;46330;153670
1958;300000;0.325;76330;223670
1958;500000;0.35;141330;358670
1958;750000;0.375;228830;521170
1958;1000000;0.4;322580;677420
1959;2000;0;0;2000
1959;3000;0.01;0;3000
1959;4000;0.02;10;3990
1959;5000;0.03;30;4970
1959;7500;0.04;105;7395
1959;10000;0.06;205;9795
1959;12500;0.08;355;12145
1959;15000;0.1;555;14445
1959;17500;0.12;805;16695
1959;20000;0.15;1105;18895
1959;25000;0.18;1855;23145
1959;30000;0.21;2755;27245
1959;35000;0.24;3805;31195
1959;40000;0.28;5005;34995
1959;45000;0.31;6405;38595
1959;50000;0.35;7955;42045
1959;60000;0.2;11455;48545
1959;75000;0.225;14455;60545
1959;100000;0.25;20080;79920
1959;150000;0.275;32580;117420
1959;200000;0.3;46330;153670
1959;300000;0.325;76330;223670
1959;500000;0.35;141330;358670
1959;750000;0.375;228830;521170
1959;1000000;0.4;322580;677420
1960;2000;0;0;2000
1960;3000;0.01;0;3000
1960;4000;0.02;10;3990
1960;5000;0.03;30;4970
1960;7500;0.04;105;7395
1960;10000;0.06;205;9795
1960;12500;0.08;355;12145
1960;15000;0.1;555;14445
1960;17500;0.12;805;16695
1960;20000;0.15;1105;18895
1960;25000;0.18;1855;23145
1960;30000;0.21;2755;27245
1960;35000;0.24;3805;31195
1960;40000;0.28;5005;34995
1960;45000;0.31;6405;38595
1960;50000;0.35;7955;42045
1960;60000;0.2;11455;48545
1960;75000;0.225;14455;60545
1960;100000;0.25;20080;79920
1960;150000;0.275;32580;117420
1960;200000;0.3;46330;153670
1960;300000;0.325;76330;223670
1960;500000;0.35;141330;358670
1960;750000;0.375;228830;521170
1960;1000000;0.4;322580;677420
1961;2000;0;0;2000
1961;3000;0.01;0;3000
1961;4000;0.02;10;3990
1961;5000;0.03;30;4970
