year;cpi;multiplier
1955;1.859502;53.37814103
1956;1.968332;50.42683856
1957;2.18037;45.52289749
1958;2.472081;40.15109537
1959;2.652784;37.41607308
1960;2.684028;36.9805233
1961;2.705749;36.68365395
1962;2.860152;34.70331647
1963;3.110234;31.91295575
1964;3.327306;29.83096836
1965;3.76698;26.34916034
1966;4.002054;24.80145445
1967;4.25785;23.3114741
1968;4.4688;22.21105442
1969;4.565341;21.74136828
1970;4.826988;20.56287689
1971;5.224581;18.99803257
1972;5.656774;17.54653094
1973;6.302591;15.74856436
1974;7.290861;13.61385987
1975;8.526901;11.64042599
1976;10.02976;9.896224835
1977;12.49086;7.946351172
1978;14.96077;6.63446868
1979;17.30366;5.736171423
1980;19.99644;4.963721542
1981;22.90579;4.333260717
1982;26.20766;3.787318669
1983;29.3982;3.376286984
1984;32.71439;3.03403976
1985;35.59799;2.788268663
1986;38.72881;2.562866249
1987;40.76131;2.435072867
1988;42.73304;2.322717036
1989;45.63523;2.175002953
1990;48.70275;2.038011406
1991;51.59287;1.923846454
1992;54.64951;1.816242451
1993;57.14648;1.736883182
1994;59.84289;1.658622436
1995;62.63983;1.584563049
1996;64.86909;1.530108716
1997;66.14771;1.500532067
1998;67.36108;1.473503097
1999;68.91734;1.440229121
2000;71.28364;1.392419916
2001;73.8426;1.344166646
2002;76.10644;1.304183457
2003;78.41949;1.265715449
2004;80.80282;1.228382376
2005;83.52463;1.188353184
2006;86.46083;1.147996844
2007;88.87052;1.116869351
2008;92.49258;1.073132137
2009;92.2262;1.0762317
2010;93.88617;1.057203207
2011;96.8869;1.024460066
2012;99.25676;1
2013;100.6548;0.986110548
2014;100.503;0.987599972
