year;cpi;multiplier
1935;7.409065;13.49180632
1936;7.409065;13.49180632
1937;7.409065;13.49180632
1938;7.409065;13.49180632
1939;7.409065;13.49180632
1940;7.409065;13.49180632
1941;7.409065;13.49180632
1942;7.409065;13.49180632
1943;7.409065;13.49180632
1944;7.409065;13.49180632
1945;7.409065;13.49180632
1946;7.409065;13.49180632
1947;7.409065;13.49180632
1948;7.409065;13.49180632
1949;7.409065;13.49180632
1950;7.409065;13.49180632
1951;7.409065;13.49180632
1952;7.409065;13.49180632
1953;7.409065;13.49180632
1954;7.409065;13.49180632
1955;7.409065;13.49180632
1956;7.549639;13.24058938
1957;7.780481;12.84774939
1958;8.967824;11.14670292
1959;9.489326;10.53411696
1960;9.882178;10.11534805
1961;10.1194;9.878221041
1962;10.65889;9.378243888
1963;11.19174;8.931736263
1964;11.55113;8.65384339
1965;11.86337;8.426077076
1966;12.17206;8.212387221
1967;12.51187;7.989346916
1968;13.08031;7.642148389
1969;13.87114;7.206449506
1970;14.60627;6.843750663
1971;15.39464;6.49327753
1972;16.32802;6.122093799
1973;17.53312;5.701305301
1974;19.92628;5.016574594
1975;22.25484;4.491682259
1976;24.39698;4.097296879
1977;26.71337;3.742008964
1978;29.18451;3.425161841
1979;32.2917;3.095584005
1980;36.67129;2.725883654
1981;41.55385;2.405593465
1982;46.53137;2.148264064
1983;50.93303;1.962609921
1984;54.84153;1.822736711
1985;58.03939;1.722307385
1986;59.51274;1.679668421
1987;61.47005;1.626184947
1988;63.13025;1.583419518
1989;65.33873;1.529899188
1990;67.42583;1.482542669
1991;69.5925;1.436385674
1992;71.2375;1.403216985
1993;72.73666;1.374295575
1994;73.94083;1.351914362
1995;75.26917;1.328055962
1996;76.76167;1.302234175
1997;77.68584;1.286742475
1998;78.19167;1.278418404
1999;78.61166;1.271588337
2000;79.92917;1.25062815
2001;81.23583;1.230512078
2002;82.79833;1.207290896
2003;84.53584;1.182476805
2004;86.34666;1.157678479
2005;87.85416;1.137813736
2006;89.32584;1.119067786
2007;90.655;1.102660306
2008;93.205;1.07249257
2009;93.28667;1.071553631
2010;94.715;1.055394288
2011;96.715;1.033569457
2012;98.605;1.013758633
2013;99.45667;1.005077588
2014;99.96167;1
2015;99.99917;
2016;100.1825;
