year;cpi;multiplier
1940;14.1;17.12283688
1941;15.5;15.57625806
1942;16.9;14.28591716
1943;17.4;13.8754023
1944;17.8;13.56359551
1945;18.2;13.26549451
1946;21.5;11.22939535
1947;23.4;10.31760684
1948;24.1;10.01792531
1949;23.6;10.23016949
1950;25.0;9.65728
1951;26.5;9.110641509
1952;26.7;9.042397004
1953;26.9;8.975167286
1954;26.7;9.042397004
1955;26.8;9.008656716
1956;27.6;8.747536232
1957;28.4;8.501126761
1958;28.9;8.354048443
1959;29.4;8.211972789
1960;29.8;8.101744966
1961;30.0;8.047733333
1962;30.4;7.941842105
1963;30.9;7.813333333
1964;31.2;7.738205128
1965;31.8;7.592201258
1966;32.9;7.338358663
1967;33.9;7.121887906
1968;35.5;6.800901408
1969;37.7;6.40403183
1970;39.8;6.066130653
1971;41.1;5.874257908
1972;42.5;5.680752941
1973;46.2;5.225800866
1974;51.9;4.651868979
1975;55.5;4.350126126
1976;58.2;4.148316151
1977;62.1;3.887793881
1978;67.7;3.56620384
1979;76.7;3.147744459
1980;86.3;2.797589803
1981;94.0;2.568425532
1982;97.6;2.473688525
1983;101.3;2.383336624
1984;105.3;2.292801519
1985;109.3;2.208892955
1986;110.5;2.184904977
1987;115.4;2.092131716
1988;120.5;2.003585062
1989;126.1;1.914607454
1990;133.8;1.804424514
1991;137.9;1.750775925
1992;141.9;1.701423538
1993;145.8;1.655912209
1994;149.7;1.612772211
1995;153.5;1.572846906
1996;158.6;1.522269861
1997;161.3;1.496788593
1998;163.9;1.473044539
1999;168.3;1.434533571
2000;174.0;1.38754023
2001;176.7;1.366338427
2002;180.9;1.33461581
2003;184.3;1.309994574
2004;190.3;1.26869154
2005;196.8;1.226788618
2006;201.8;1.196392468
2007;210.036;1.149479137
2008;210.228;1.148429324
2009;215.949;1.118004714
2010;219.179;1.101528887
2011;225.672;1.069835868
2012;229.601;1.051528521
2013;233.049;1.035970976
2014;234.812;1.028192767
2015;236.525;1.020746221
2016;241.432;1
